symbol,adjClose,prev_price,date,persian_date,last_price
زکوثر,38970.0,39270.0,2020-07-11,1399-04-21,39800
زکوثر,40790.0,38970.0,2020-07-12,1399-04-22,39800
زکوثر,40550.0,40790.0,2020-07-13,1399-04-23,39800
زکوثر,39800.0,40550.0,2020-07-14,1399-04-24,39800
خگستر,2729.0,,2020-04-26,1399-02-07,9640
خگستر,2863.0,2729.0,2020-04-27,1399-02-08,9640
خگستر,3006.0,2863.0,2020-04-28,1399-02-09,9640
خگستر,3156.0,3006.0,2020-04-29,1399-02-10,9640
خگستر,3313.0,3156.0,2020-05-02,1399-02-13,9640
خگستر,3478.0,3313.0,2020-05-03,1399-02-14,9640
خگستر,3651.0,3478.0,2020-05-04,1399-02-15,9640
خگستر,3761.0,3651.0,2020-05-05,1399-02-16,9640
خگستر,3894.0,3761.0,2020-05-06,1399-02-17,9640
خگستر,4088.0,3894.0,2020-05-09,1399-02-20,9640
خگستر,4292.0,4088.0,2020-05-10,1399-02-21,9640
خگستر,4451.0,4292.0,2020-05-12,1399-02-23,9640
خگستر,4639.0,4451.0,2020-05-13,1399-02-24,9640
خگستر,4560.0,4639.0,2020-05-16,1399-02-27,9640
خگستر,4471.0,4560.0,2020-05-17,1399-02-28,9640
خگستر,4683.0,4471.0,2020-05-18,1399-02-29,9640
خگستر,4915.0,4683.0,2020-05-19,1399-02-30,9640
خگستر,5153.0,4915.0,2020-05-20,1399-02-31,9640
خگستر,4919.0,5153.0,2020-05-23,1399-03-03,9640
خگستر,4683.0,4919.0,2020-05-26,1399-03-06,9640
خگستر,4449.0,4683.0,2020-05-27,1399-03-07,9640
خگستر,4324.0,4449.0,2020-05-30,1399-03-10,9640
خگستر,4108.0,4324.0,2020-05-31,1399-03-11,9640
خگستر,3903.0,4108.0,2020-06-01,1399-03-12,9640
خگستر,4020.0,3903.0,2020-06-02,1399-03-13,9640
خگستر,3956.0,4020.0,2020-06-06,1399-03-17,9640
خگستر,4129.0,3956.0,2020-06-07,1399-03-18,9640
خگستر,4081.0,4129.0,2020-06-08,1399-03-19,9640
خگستر,4069.0,4081.0,2020-06-09,1399-03-20,9640
خگستر,4270.0,4069.0,2020-06-10,1399-03-21,9640
خگستر,4480.0,4270.0,2020-06-14,1399-03-25,9640
خگستر,4700.0,4480.0,2020-06-15,1399-03-26,9640
خگستر,4930.0,4700.0,2020-06-16,1399-03-27,9640
خگستر,5170.0,4930.0,2020-06-20,1399-03-31,9640
خگستر,5420.0,5170.0,2020-06-21,1399-04-01,9640
خگستر,5510.0,5420.0,2020-06-22,1399-04-02,9640
خگستر,5740.0,5510.0,2020-06-23,1399-04-03,9640
خگستر,5960.0,5740.0,2020-06-24,1399-04-04,9640
خگستر,6250.0,5960.0,2020-06-27,1399-04-07,9640
خگستر,6420.0,6250.0,2020-06-28,1399-04-08,9640
خگستر,6300.0,6420.0,2020-06-29,1399-04-09,9640
خگستر,6610.0,6300.0,2020-06-30,1399-04-10,9640
خگستر,6940.0,6610.0,2020-07-01,1399-04-11,9640
خگستر,7230.0,6940.0,2020-07-04,1399-04-14,9640
خگستر,7590.0,7230.0,2020-07-05,1399-04-15,9640
